bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
25-30,M,Y65-74,QU2,48.4,51.6,:,57.5,46.6,50.0,52,:,46.2,56.7,34.2,47.4,52,48.6,56.9,47.1,48.2,50.2
25-30,M,Y65-74,QU3,53.9,33.1,52.0,43.9,43.1,54.7,55.6,:,54.7,43.8,47.8,38.9,53.1,49.7,:,:,43.9,54.7
25-30,M,Y65-74,QU4,55.6,56.3,:,56.8,47.9,61.0,49.7,:,70.4,:,55.8,:,56.9,50.6,:,:,:,45.6
25-30,M,Y65-74,QU5,50.4,57.3,:,61.4,38.1,59.1,47,:,56.9,:,29.0,:,59.4,54.3,:,:,:,40.9
25-30,M,Y65-74,TOTAL,50.8,49.2,53.7,52.2,42.3,52.8,51.7,47,48.5,51.2,39.9,46.7,53.4,50.3,54.4,52.5,46.6,45.2
25-30,M,Y65-74,UNK,47.5,:,:,51.2,37.5,50.7,52.7,47,:,:,:,40.0,:,59.2,56.8,45.7,:,:
25-30,M,Y_GE75,QU1,38.9,43.8,:,:c,39.8,:,50.2,:,36.4,:,34.2,:,57.3,50.9,46.4,:,68.5,33.9
25-30,M,Y_GE75,QU2,36.2,54.7,:,:c,38.1,45.5,50.5,:,39.4,47.1,42.5,38.1,52.6,49.2,47.2,:,51.4,49.8
25-30,M,Y_GE75,QU3,57.3,38.2,66.7,:c,45.1,:,55.3,:,:,62,37.3,:,55.9,48.6,:,:,:,44.1
25-30,M,Y_GE75,QU4,45.4,:,:,:c,51.7,65.1,50.3,:,:,:,42.8,:,47.7,54,:,:,:,52.8
25-30,M,Y_GE75,QU5,33.3,:,:,:c,38.0,:,59.9,:,:,:,:,:,33.1,48.2,:,:,:,:
25-30,M,Y_GE75,TOTAL,46.7,44.9,61.4,49.8,42.9,52.1,51.5,44.1,39,54.5,39.6,46.8,51.6,49.3,46.8,61.5,50.4,40.9
25-30,M,Y_GE75,UNK,51.2,:,:,47.1,37.1,52.8,52.2,44.1,:,:,:,70.0,:,44.9,43.2,:,:,:
25-30,T,TOTAL,QU1,30.5,41.3,41.3,35.5,36.4,37.7,39,:,35.1,30.3,32.8,33.9,36.6,35.7,43.4,41.2,38,31.4
25-30,T,TOTAL,QU2,29.2,44.8,38.6,39.3,32.5,37.4,38.4,:,38,39,36.9,39.7,36.6,38.4,42.2,37.3,36.8,35.7
25-30,T,TOTAL,QU3,36.4,42.7,42.4,37.6,33.3,37,38.5,:,36,38.1,39.8,38.4,39,38.5,38.6,42.9,35.8,35.6
25-30,T,TOTAL,QU4,38.7,36.5,35.6,37.2,30.4,38.7,35.3,:,35.7,37.1,31.3,34.5,36.1,38.2,38,43,34.1,34.3
