bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18.5-25,T,Y65-74,QU4,27.6,35.5,:,37.6,29.4,27.3,38.5,:,24.2,25.7,22.8,11.8,32.2,29.7,:,:,21.1,25.2
18.5-25,T,Y65-74,QU5,45.6,22,:,36.6,30.8,28.1,40.5,:,23.4,:,35.1,40.0,33,25.1,:,:,:,17.4
18.5-25,T,Y65-74,TOTAL,38.4,33.1,22.6,33.9,30.7,22.1,27.1,40.6,28.5,23.8,26.1,26.4,31.5,26.9,38.4,26.4,25.7,28.0
18.5-25,T,Y65-74,UNK,47.3,:,22.3,36.2,36.0,21,32.9,40.6,:,:,32.2,32.4,:,22.5,40.5,23.6,28.4,:
18.5-25,T,Y_GE75,QU1,48.8,46.6,31.3,32.5,38.1,31.7,29.6,:,42.1,:,39,38.7,40.9,37.8,53.6,42.1,25,50.4
18.5-25,T,Y_GE75,QU2,46.3,41.8,17.1,32.2,36.7,34.5,33.6,:,42.2,34.6,34.7,30.2,37.7,31.5,54.4,25.6,33.8,43.6
18.5-25,T,Y_GE75,QU3,38.5,41.2,24.6,54.1,38.3,43.3,36.3,:,34.1,22.8,30.9,47.4,35.8,31.5,41.1,:,46.7,49.9
18.5-25,T,Y_GE75,QU4,38.5,52.8,:,:c,34.7,28.5,31.8,:,:,:,43.6,:,46,37.2,:,:,:,37.7
18.5-25,T,Y_GE75,QU5,64.1,34.0,:,:c,31.7,:,28.5,:,:,:,27.4,:,50.4,35.5,:,:,:,29.1
18.5-25,T,Y_GE75,TOTAL,43.1,44.8,29.4,37.3,37.7,34.8,32.7,45.5,41.2,31.2,36.6,35.6,40.6,34.9,53.2,34.3,31.6,45.1
18.5-25,T,Y_GE75,UNK,40.3,:,31.3,36.9,45.8,35.4,36.5,45.5,:,:,44.0,33.3,:,36.6,45.6,38.6,:,:
